Technique,Runs,Total Runs,Run Time (ms)
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0004
NakedSingle,76,9,0.0001
NakedSingle,77,9,0.0003
NakedSingle,78,9,0.0002
NakedSingle,80,9,0.0003
NakedSingle,81,9,0.0003
NakedSingle,1,9,0
NakedSingle,8,18,0.0002
NakedSingle,7,9,0.0001
NakedSingle,11,9,0
NakedSingle,12,9,0.0002
NakedSingle,23,21,0.0004
NakedSingle,27,21,0.0004
NakedSingle,30,21,0.0003
NakedSingle,33,24,0.0003
NakedSingle,32,21,0.0003
NakedSingle,38,35,0.0003
NakedSingle,41,35,0.0003
NakedSingle,45,35,0.0003
NakedSingle,47,38,0.0004
NakedSingle,51,38,0.0002
NakedSingle,53,38,0.0003
NakedSingle,17,14,0.0002
NakedSingle,16,9,0
NakedSingle,18,9,0.0001
NakedSingle,55,23,0.0003
NakedSingle,60,23,0.0003
NakedSingle,61,23,0.0002
NakedSingle,34,9,0.0002
NakedSingle,36,9,0.0003
NakedSingle,65,18,0.0002
NakedSingle,68,18,0.0004
NakedSingle,72,24,0.0003
NakedSingle,69,18,0.0001
NakedSingle,64,9,0.0003
NakedSingle,73,9,0.0002
NakedSingle,75,9,0.0003
NakedSingle,76,9,0.0003
NakedSingle,77,9,0.0002
NakedSingle,78,9,0.0002
NakedSingle,80,9,0.0001
NakedSingle,81,9,0.0002
NakedSingle,1,9,0.0001
NakedSingle,8,18,0.0002
NakedSingle,7,9,0
NakedSingle,11,9,0.0001
NakedSingle,12,9,0.0002
NakedSingle,23,21,0.0001
NakedSingle,27,21,0.0003
NakedSingle,30,21,0.0002
NakedSingle,33,24,0.0002
NakedSingle,32,21,0.0003
NakedSingle,38,35,0.0002
NakedSingle,41,35,0.0004
NakedSingle,45,35,0.0002
NakedSingle,47,38,0.0003
NakedSingle,48,38,0.0003
NakedSingle,51,38,0.0002
NakedSingle,53,38,0.0002
NakedSingle,17,14,0.0001
NakedSingle,16,9,0.0001
NakedSingle,18,9,0.0002
NakedSingle,55,23,0.0002
NakedSingle,60,23,0.0004
NakedSingle,61,23,0.0004
NakedSingle,34,9,0.0002
NakedSingle,36,9,0.0002
NakedSingle,65,18,0.0004
NakedSingle,68,18,0.0002
NakedSingle,72,24,0.0004
NakedSingle,69,18,0.0002
NakedSingle,64,9,0.0003
NakedSingle,73,9,0.0003
NakedSingle,75,9,0.0004
NakedSingle,76,9,0.0002
NakedSingle,77,9,0.0004
NakedSingle,78,9,0.0001
NakedSingle,80,9,0.0004
