Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Beginner,4200,0.6334,0.048
Beginner,3800,0.5747,0.0433
Beginner,4400,1.2013,0.271
Beginner,4400,1.0533,0.1728
Beginner,4400,0.8383,0.0427
Beginner,3900,0.7646,0.0692
Beginner,4200,1.4754,0.1543
Beginner,4100,0.848,0.1988
Beginner,4400,1.3321,0.5504
Beginner,4100,0.5185,0.0512
Beginner,3800,0.7813,0.052
Beginner,4300,0.7396,0.0919
Beginner,4000,0.9371,0.2134
Beginner,4100,0.8041,0.0637
Beginner,4300,0.6558,0.064
Beginner,3800,0.6071,0.03
Beginner,4300,1.1346,0.5071
Beginner,3700,0.5853,0.0274
Beginner,3900,0.7577,0.0219
Beginner,4100,0.5661,0.0741
Beginner,4300,0.9167,0.0388
Beginner,4200,1.359,0.2953
Beginner,4100,0.5624,0.0909
Beginner,4400,1.1305,0.0392
Beginner,4100,0.6921,0.1575
Beginner,3800,0.3894,0.0621
Beginner,3800,0.4159,0.0942
Beginner,4200,0.4433,0.0408
Beginner,3700,0.4746,0.0151
Beginner,4100,0.8198,0.0676
Beginner,4300,1.6131,0.6629
Beginner,4000,0.709,0.1611
Beginner,4000,1.0536,0.0908
Beginner,3800,0.4816,0.0219
Beginner,4100,0.4022,0.0436
Beginner,3800,0.4746,0.0286
Beginner,4400,0.5952,0.0878
Beginner,3700,0.6475,0.0248
Beginner,4400,0.8373,0.0222
Beginner,3800,0.4889,0.0254
Beginner,3800,0.5869,0.0605
Beginner,3700,0.5384,0.0343
Beginner,4400,0.754,0.1759
Beginner,4000,0.6913,0.2542
Beginner,4100,0.4189,0.0564
Beginner,3700,0.308,0.0217
Beginner,4400,0.8885,0.1849
Beginner,3800,0.4631,0.1512
Beginner,3900,0.7646,0.0491
Beginner,4000,1.1053,0.0859
Beginner,4400,0.4699,0.073
Beginner,3700,0.3135,0.0265
Beginner,4300,4.3506,0.0581
Beginner,3900,0.8633,0.1176
Beginner,4000,0.8485,0.0669
Beginner,3700,0.5474,0.0515
Beginner,3900,0.4364,0.0981
Beginner,3900,0.3801,0.0375
Beginner,4300,0.7982,0.1412
Beginner,4100,0.438,0.031
Beginner,4000,0.6555,0.1072
Beginner,3800,0.5891,0.017
Beginner,3700,0.3823,0.0192
Beginner,4100,0.5249,0.1888
Beginner,4300,0.9306,0.0645
Beginner,4400,1.2825,0.1624
Beginner,3900,0.3533,0.0211
Beginner,3800,0.3201,0.0277
Beginner,4300,1.5355,0.3732
Beginner,3900,0.4299,0.114
Beginner,4200,0.5427,0.0316
Beginner,4200,0.8622,0.1908
Beginner,4400,1.2293,0.4149
Beginner,3900,0.5033,0.0409
Beginner,3700,0.4735,0.0204
Beginner,3700,0.4714,0.022
Beginner,4300,0.7361,0.1856
Beginner,4400,0.7997,0.0635
Beginner,3900,0.3524,0.0186
Beginner,3800,0.3367,0.0231
Beginner,3700,0.2926,0.0188
Beginner,4100,0.6925,0.0349
Beginner,4200,0.4888,0.0632
Beginner,4300,1.2127,0.1377
Beginner,4400,0.85,0.0852
Beginner,3900,0.4302,0.0777
Beginner,4300,1.5954,0.6918
Beginner,3800,0.4858,0.0287
Beginner,4300,0.616,0.0877
Beginner,4000,0.5122,0.0629
Beginner,4100,0.6964,0.076
Beginner,4100,0.3868,0.0408
Beginner,4100,0.8098,0.0541
Beginner,4300,4.5925,0.0286
Beginner,4400,1.1523,0.371
Beginner,4400,1.492,0.2277
Beginner,3900,0.8653,0.093
Beginner,3700,0.3902,0.0251
Beginner,4400,0.713,0.1082
Beginner,3900,0.3952,0.0284
Beginner,3700,0.4068,0.0972
Beginner,4200,1.1825,0.2705
Beginner,3700,1.1485,0.1243
Beginner,4000,0.5345,0.0304
Beginner,4300,2.6379,1.8269
Beginner,4400,2.76,0.5984
Beginner,4200,0.4617,0.0669
Beginner,4200,0.6958,0.0383
Beginner,4200,0.8191,0.1003
Beginner,4100,0.5328,0.033
Beginner,4100,0.437,0.0855
Beginner,3900,0.3919,0.0495
Beginner,4000,0.9157,0.0325
Beginner,4300,0.5021,0.1107
Beginner,4400,0.6762,0.0828
Beginner,4000,0.4766,0.056
Beginner,4400,0.646,0.0948
Beginner,3700,0.4484,0.092
Beginner,4200,0.8068,0.1058
