Difficulty,Difficulty Score,Time (ms),Backtrack Count,Backtrack Fail Count
Beginner,3700,0.6178,37,0
Beginner,4400,1.0469,44,0
Beginner,4300,0.7506,43,0
Beginner,3700,0.703,37,0
Beginner,4100,2.2354,41,0
Beginner,3800,0.9708,38,0
Beginner,4400,1.5258,44,0
Beginner,4000,0.6679,40,0
Beginner,3700,0.7323,37,0
Beginner,4300,1.0146,43,0
Beginner,3700,0.5822,37,0
Beginner,4000,0.9733,40,0
Beginner,3900,0.5962,39,0
Beginner,3900,0.8182,39,0
Beginner,4200,0.8485,42,0
Beginner,4300,1.0944,43,0
Beginner,4400,1.2656,44,0
Beginner,3700,0.5527,37,0
Beginner,4100,0.9168,41,0
Beginner,4000,0.7441,40,0
Beginner,4100,1.4472,41,0
Beginner,4400,0.9815,44,0
Beginner,4200,0.6871,42,0
Beginner,4100,1.1801,41,0
Beginner,3900,1.2657,39,0
Beginner,4400,1.0966,44,0
Beginner,4100,1.1715,41,0
Beginner,4200,1.0752,42,0
Beginner,3700,0.6219,37,0
Beginner,4100,0.8885,41,0
Beginner,4400,3.9366,44,0
Beginner,4400,2.2456,44,0
Beginner,3800,1.5677,38,0
Beginner,4300,1.2668,43,0
Beginner,3800,0.889,38,0
Beginner,3900,0.7838,39,0
Beginner,4300,1.1631,43,0
Beginner,4300,0.7525,43,0
Beginner,4100,0.6621,41,0
Beginner,3900,0.6478,39,0
Beginner,3700,0.7134,37,0
Beginner,4200,0.8304,42,0
Beginner,3700,0.6298,37,0
Beginner,4000,0.7484,40,0
Beginner,3900,0.6599,39,0
Beginner,3700,0.5345,37,0
Beginner,4200,0.7161,42,0
Beginner,4300,1.5695,43,0
Beginner,3800,1.108,38,0
Beginner,3800,0.6576,38,0
Beginner,3900,1.0717,39,0
Beginner,4100,2.1923,41,0
Beginner,3800,0.7598,38,0
Beginner,3800,0.6573,38,0
Beginner,4400,1.2342,44,0
Beginner,3700,0.6971,37,0
Beginner,3800,0.6217,38,0
Beginner,3800,0.6772,38,0
Beginner,4000,0.6311,40,0
Beginner,3900,0.8695,39,0
Beginner,4000,1.1694,40,0
Beginner,4200,1.1632,42,0
Beginner,4200,0.7632,42,0
Beginner,4100,1.7049,41,0
Beginner,4000,0.7971,40,0
Beginner,4200,0.9983,42,0
Beginner,4300,1.4176,43,0
Beginner,3800,0.67,38,0
Beginner,3900,0.9342,39,0
