Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Beginner,4200,1.4196,0.4432
Beginner,4200,1.5332,0.9704
Beginner,4100,1.1863,0.7812
Beginner,4000,0.8499,0.4763
Beginner,4200,1.203,0.7699
Beginner,3700,0.5571,0.2246
Beginner,3800,0.477,0.1903
Beginner,4100,1.184,0.6742
Beginner,3700,0.6178,0.2194
Beginner,4400,1.0469,0.6396
Beginner,4300,0.7506,0.3513
Beginner,3700,0.703,0.2962
Beginner,4100,2.2354,1.0562
Beginner,3800,0.9708,0.2789
Beginner,4400,1.5258,1.1214
Beginner,4000,0.6679,0.3194
Beginner,3700,0.7323,0.2005
Beginner,4300,1.0146,0.432
Beginner,3700,0.5822,0.2952
Beginner,4000,0.9733,0.4415
Beginner,3900,0.5962,0.2442
Beginner,3900,0.8182,0.2569
Beginner,4200,0.8485,0.2586
Beginner,4300,1.0944,0.5892
Beginner,4400,1.2656,0.4417
Beginner,3700,0.5527,0.2639
Beginner,4100,0.9168,0.3404
Beginner,4000,0.7441,0.2828
Beginner,4100,1.4472,0.7246
Beginner,4400,0.9815,0.5552
Beginner,4200,0.6871,0.2998
Beginner,4100,1.1801,0.5845
Beginner,3900,1.2657,0.8743
Beginner,4400,1.0966,0.4569
Beginner,4100,1.1715,0.67
Beginner,4200,1.0752,0.369
Beginner,3700,0.6219,0.2068
Beginner,4100,0.8885,0.2929
Beginner,4400,3.9366,2.3723
Beginner,4400,2.2456,1.6236
Beginner,3800,1.5677,1.2187
Beginner,4300,1.2668,0.4675
Beginner,3800,0.889,0.3265
Beginner,3900,0.7838,0.2714
Beginner,4300,1.1631,0.7831
Beginner,4300,0.7525,0.3575
Beginner,4100,0.6621,0.3056
Beginner,3900,0.6478,0.3179
Beginner,3700,0.7134,0.25
Beginner,4200,0.8304,0.3108
Beginner,3700,0.6298,0.1886
Beginner,4000,0.7484,0.2796
Beginner,3900,0.6599,0.3169
Beginner,3700,0.5345,0.237
Beginner,4200,0.7161,0.3713
Beginner,4300,1.5695,0.6345
Beginner,3800,1.108,0.579
Beginner,3800,0.6576,0.2905
Beginner,3900,1.0717,0.4201
Beginner,4100,2.1923,1.3252
Beginner,3800,0.7598,0.241
Beginner,3800,0.6573,0.3693
Beginner,4400,1.2342,0.5465
Beginner,3700,0.6971,0.4175
Beginner,3800,0.6217,0.3278
Beginner,3800,0.6772,0.2442
Beginner,4000,0.6311,0.3183
Beginner,3900,0.8695,0.3894
Beginner,4000,1.1694,0.5968
Beginner,4200,1.1632,0.7853
Beginner,4200,0.7632,0.3932
Beginner,4100,1.7049,0.9471
Beginner,4000,0.7971,0.3284
Beginner,4200,0.9983,0.3648
Beginner,4300,1.4176,0.6314
Beginner,3800,0.67,0.2402
Beginner,3900,0.9342,0.374
Beginner,4100,1.0198,0.6535
Beginner,4100,0.7731,0.2849
Beginner,3800,0.8424,0.38
Beginner,3900,0.7868,0.4622
Beginner,4100,1.3026,0.5072
Beginner,4200,0.9571,0.4595
Beginner,4200,0.8549,0.2471
Beginner,3800,0.5651,0.2572
Beginner,3800,0.6031,0.2911
Beginner,4200,0.8966,0.5222
Beginner,3800,0.5209,0.2156
Beginner,4200,1.1095,0.3445
Beginner,4100,1.162,0.3262
Beginner,4100,0.8913,0.4698
Beginner,3800,0.9169,0.6076
Beginner,3800,0.9317,0.3437
Beginner,3700,0.6584,0.3674
Beginner,3700,0.5495,0.2583
Beginner,4000,0.5628,0.2209
Beginner,4300,1.288,0.5874
Beginner,4300,0.8201,0.3979
Beginner,4000,1.1695,0.6944
Beginner,4200,1.0799,0.4225
Beginner,4100,0.819,0.3407
Beginner,3800,0.5908,0.2641
Beginner,4000,0.8281,0.3148
Beginner,3700,0.7552,0.3527
Beginner,4100,1.0537,0.3941
Beginner,4000,0.7697,0.3133
Beginner,4300,1.0336,0.383
Beginner,4100,0.9253,0.4326
Beginner,3800,0.7157,0.2806
Beginner,4300,0.9678,0.4952
Beginner,4400,1.6879,0.9129
Beginner,4400,1.9713,1.1502
Beginner,3800,1.0176,0.2732
Beginner,3700,0.6068,0.2432
Beginner,4100,0.9209,0.3467
Beginner,3800,0.6189,0.3301
Beginner,3800,0.6444,0.3125
Beginner,4300,0.8926,0.4918
Beginner,3800,1.646,1.0527
Beginner,4300,1.1509,0.4069
Beginner,4400,1.6875,0.4726
Beginner,4000,1.1391,0.4051
Beginner,4400,1.163,0.7498
Beginner,3800,0.6641,0.3057
Beginner,3900,0.7287,0.3584
Beginner,3900,0.6169,0.2917
Beginner,4400,1.3923,0.4456
Beginner,4300,0.9941,0.256
Beginner,3800,0.8024,0.4073
Beginner,3900,0.7031,0.3763
Beginner,3800,0.7308,0.407
Beginner,4000,1.1422,0.4547
Beginner,3700,0.6139,0.3091
Beginner,3800,0.7792,0.2827
Beginner,4300,1.1013,0.5622
Beginner,3800,0.5257,0.199
Beginner,4000,1.3231,0.6163
Beginner,4200,1.4629,0.4553
Beginner,4400,1.1272,0.7016
Beginner,4300,1.2376,0.8381
Beginner,4000,0.5824,0.2241
Beginner,4200,0.9493,0.4303
Beginner,4400,10.8235,5.7356
Beginner,3700,0.6597,0.2253
Beginner,4100,0.755,0.3751
Beginner,4300,1.4452,0.4717
Beginner,4400,1.1397,0.6574
Beginner,3800,0.8176,0.2571
Beginner,4000,0.8829,0.397
Beginner,4300,1.1126,0.4414
Beginner,4200,1.5095,0.5296
Beginner,4300,0.9269,0.4042
Beginner,4400,2.0418,0.9114
Beginner,4200,0.8536,0.4281
Beginner,4100,1.0809,0.43
Beginner,3700,0.612,0.3254
Beginner,4300,0.7339,0.3656
Beginner,4100,1.1045,0.3676
Beginner,4300,1.0528,0.4979
Beginner,4300,1.25,0.8671
Beginner,4400,0.7748,0.3549
Beginner,3800,0.6563,0.2253
Beginner,3800,0.5674,0.2615
Beginner,4000,0.6439,0.306
Beginner,3700,0.6925,0.2489
Beginner,3800,0.7057,0.3774
Beginner,4300,1.2955,0.7831
Beginner,3700,0.6294,0.2173
Beginner,4300,1.2438,0.5736
Beginner,3900,0.9061,0.4252
Beginner,4100,0.7155,0.2456
Beginner,3800,0.8139,0.3517
Beginner,4200,1.2487,0.7694
Beginner,4300,0.6996,0.2856
Beginner,3800,0.996,0.333
Beginner,3700,0.5845,0.2476
Beginner,4100,0.8175,0.4488
Beginner,4300,0.8057,0.3978
Beginner,4400,1.383,0.6968
Beginner,4100,0.708,0.3539
Beginner,3800,0.6971,0.2639
Beginner,4000,0.7753,0.3093
Beginner,4000,1.1783,0.8292
Beginner,4000,0.6889,0.3463
Beginner,4000,1.0287,0.433
Beginner,4300,1.374,0.4754
Beginner,4200,0.8608,0.3668
Beginner,3900,0.7861,0.246
Beginner,3800,0.6068,0.3028
Beginner,4000,1.2041,0.4716
Beginner,3900,0.7811,0.309
Beginner,4100,0.8018,0.2909
Beginner,3800,0.8292,0.3698
Beginner,4200,1.4239,0.4077
Beginner,4400,1.2063,0.394
Beginner,4300,1.7103,0.6365
Beginner,4200,0.8547,0.3746
Beginner,3800,0.6833,0.2627
Beginner,3900,0.7356,0.2449
Beginner,4200,1.1033,0.4671
Beginner,4200,1.0699,0.4323
Beginner,3900,0.7467,0.2842
Beginner,4100,1.1074,0.7603
Beginner,3700,0.9702,0.2735
Beginner,4100,0.7097,0.3542
Beginner,4100,3.1264,1.4
Beginner,3800,0.8062,0.2904
Beginner,3800,0.7955,0.4398
Beginner,3800,0.9531,0.3866
Beginner,4300,0.8194,0.3551
Beginner,4200,1.3346,0.6687
Beginner,3700,0.5192,0.22
Beginner,4300,2.8544,0.6596
Beginner,3800,0.9687,0.3008
Beginner,4000,1.0064,0.2961
Beginner,3800,0.981,0.6201
Beginner,3700,0.7989,0.3743
Beginner,3900,0.8022,0.2577
Beginner,4200,0.8424,0.4164
Beginner,4100,1.2281,0.6129
Beginner,3900,0.6438,0.2812
Beginner,4300,0.8156,0.4268
Beginner,4200,3.2402,2.6541
Beginner,4000,0.5983,0.2497
Beginner,4000,0.9649,0.287
Beginner,4300,0.6977,0.303
Beginner,3900,1.2672,0.2778
Beginner,3700,0.5615,0.2508
Beginner,3900,0.9123,0.4496
Beginner,4200,1.1639,0.793
Beginner,4100,0.7998,0.431
Beginner,4400,1.1386,0.424
Beginner,4100,0.9114,0.4884
Beginner,3700,0.6404,0.2936
Beginner,3800,0.7594,0.2481
Beginner,4300,2.5157,0.8757
Beginner,4100,0.7232,0.3318
Beginner,4300,1.3514,0.5771
Beginner,4000,0.7607,0.3469
Beginner,4300,1.7623,1.1326
Beginner,4400,1.7906,0.5897
Beginner,4100,2.1781,1.2038
Beginner,4300,1.4006,0.877
Beginner,4200,0.7061,0.336
Beginner,4200,1.2615,0.6438
Beginner,3700,0.6665,0.2284
Beginner,4400,2.3879,1.7569
Beginner,3900,1.1172,0.4741
Beginner,3800,0.859,0.2933
Beginner,4300,1.5534,0.8134
Beginner,3700,0.6308,0.3035
Beginner,4200,1.5241,0.5689
Beginner,3800,0.5295,0.2257
Beginner,4300,1.3301,0.9043
Beginner,4000,0.9775,0.2968
Beginner,4300,1.0604,0.3046
Beginner,3800,0.862,0.51
Beginner,4100,1.026,0.6141
Beginner,4200,2.0572,0.7566
Beginner,3800,0.6679,0.2805
Beginner,3900,1.9053,1.0671
Beginner,4100,1.0046,0.5091
Beginner,4100,0.9607,0.3333
Beginner,3900,0.7583,0.2632
Beginner,4000,1.4601,0.8273
Beginner,4200,0.659,0.2949
Beginner,3700,0.5354,0.2192
Beginner,4300,1.2436,0.548
Beginner,4100,0.9889,0.371
Beginner,3900,0.636,0.2551
Beginner,4100,0.8241,0.3953
Beginner,4400,1.1769,0.5603
Beginner,4300,1.4518,0.9585
Beginner,4000,0.718,0.3609
Beginner,4000,1.9919,1.2472
Beginner,4300,1.1818,0.5169
Beginner,4200,0.9683,0.4232
Beginner,3800,0.9308,0.3526
Beginner,4000,1.5378,0.7857
Beginner,4100,1.0766,0.4995
Beginner,3800,0.9679,0.6214
Beginner,4100,0.7399,0.3167
Beginner,4300,1.1465,0.5415
Beginner,4400,0.8963,0.4227
Beginner,3900,0.665,0.3192
Beginner,4100,1.0281,0.6365
Beginner,4200,1.1381,0.7857
Beginner,4100,1.3072,0.7807
Beginner,3900,1.0985,0.7578
Beginner,3700,0.5472,0.2174
Beginner,4200,1.1603,0.6219
Beginner,4100,0.9682,0.3256
Beginner,4100,1.2128,0.4248
Beginner,3800,1.0996,0.5806
Beginner,4200,5.3241,3.0025
Beginner,4300,1.1132,0.6395
Beginner,4100,0.6901,0.2672
Beginner,4000,0.8279,0.2864
Beginner,3700,0.8592,0.2506
Beginner,4000,1.2084,0.8203
Beginner,4100,1.2807,0.8384
Beginner,4000,0.8026,0.4496
Beginner,4300,1.0982,0.3206
Beginner,3900,1.3031,0.6246
Beginner,4300,1.0344,0.3919
Beginner,4200,0.8404,0.464
Beginner,4100,1.031,0.398
Beginner,4000,0.688,0.2801
Beginner,4100,0.9799,0.5954
Beginner,3800,0.7974,0.2987
Beginner,4300,1.4705,0.7223
Beginner,3800,0.992,0.5995
Beginner,3700,0.6066,0.2052
Beginner,4100,1.9626,0.7308
Beginner,4000,0.864,0.3362
Beginner,3900,0.9067,0.2784
Beginner,4100,0.8897,0.2875
Beginner,3900,0.6473,0.3087
Beginner,4400,1.8671,1.151
Beginner,3700,0.6359,0.1967
Beginner,4400,1.3859,0.4296
Beginner,3900,0.6743,0.2764
Beginner,4000,0.69,0.3283
Beginner,4400,1.0659,0.4093
Beginner,3900,0.6688,0.3343
Beginner,4100,1.0099,0.3416
Beginner,4200,1.0394,0.2778
Beginner,4400,1.6379,0.7689
Beginner,4400,0.9637,0.5323
Beginner,4000,1.4342,0.92
Beginner,4300,1.3571,0.7936
Beginner,3700,0.7345,0.2622
Beginner,4400,3.5152,2.8953
Beginner,3800,1.0465,0.4059
Beginner,3700,0.8126,0.2652
Beginner,4300,0.9965,0.4997
Beginner,4400,1.7589,0.6025
Beginner,3900,0.587,0.2624
Beginner,3900,0.7907,0.3265
Beginner,3700,0.4885,0.1986
Beginner,4100,1.0168,0.3921
Beginner,4400,1.7329,0.7927
Beginner,4300,1.0862,0.7065
Beginner,3900,1.0259,0.5269
Beginner,4000,0.9779,0.6041
Easy,4700,4.0531,2.9934
Easy,4700,2.2075,1.3229
Easy,4900,7.465,4.6523
Easy,5000,7.8219,4.4538
Easy,5300,7.5824,5.4706
Easy,5400,15.4308,8.9304
Easy,4500,1.3565,0.7466
Easy,5200,129.239,125.9448
Easy,4500,1.7175,1.1406
Easy,4500,2.8017,1.2613
Easy,4800,2.4287,1.2824
Easy,5300,6.1476,2.5705
Easy,5450,36.3381,33.7822
Easy,5100,10.9837,9.0164
Easy,5000,7.871,6.7605
Easy,4500,1.3278,0.7934
Easy,5100,4.9189,2.086
Easy,5400,35.5223,20.0879
Easy,4800,3.9678,1.3182
Easy,5400,38.3967,35.0195
Easy,5100,8.8877,6.9108
Easy,4600,1.8033,1.2612
Easy,5100,4.535,0.8355
Easy,5400,19.1467,12.0305
Easy,5400,97.0939,91.9758
Easy,4500,2.2629,0.8537
Easy,4900,4.3933,1.9519
Easy,4700,3.3445,2.0235
Easy,4700,1.5444,0.9893
Easy,5300,4.0978,0.9902
Easy,4700,1.3772,0.4776
Easy,5200,23.477,18.2183
Easy,5200,7.4643,4.9246
Easy,5000,5.1153,2.6693
Easy,5300,43.88,39.3769
Easy,5000,9.5012,7.2829
Easy,5200,6.4703,1.7827
Easy,4700,2.7255,0.656
Easy,4800,2.9747,1.7856
Easy,5100,2.7927,1.8633
Easy,4600,2.7959,2.2665
Easy,5400,19.9115,5.7843
Easy,4500,2.6831,1.1265
Easy,4800,5.4256,1.8669
Easy,5300,17.1391,9.91
Easy,4500,2.7584,1.3342
Easy,5400,31.6631,26.5427
Easy,5100,9.5743,7.2251
Easy,5100,5.5456,3.91
Easy,5100,3.699,0.9923
Easy,5300,5.561,2.3856
Easy,4500,3.2979,2.8726
Easy,5300,12.4053,10.3601
Easy,5300,3.8517,1.8103
Easy,4400,0.8936,0.3346
Easy,4500,2.0816,1.1898
Easy,5300,27.824,23.6204
Easy,4700,5.8632,1.0633
Easy,4400,1.07,0.4749
Easy,4800,1.3426,0.5037
Easy,4400,1.6363,0.8778
Easy,4900,8.2934,5.9319
Easy,5300,29.9446,26.9847
Easy,5000,13.1976,12.5041
Easy,5000,1.6301,0.9225
Easy,5100,12.3853,4.5514
Easy,5400,17.9546,10.602
Easy,5400,25.3915,12.2661
Easy,5100,57.8702,56.7321
Easy,4700,3.1472,2.0848
Easy,5300,65.9815,57.8585
Easy,4600,1.7927,0.6724
Easy,5400,10.9561,5.3047
Easy,4900,3.6051,1.6028
Easy,4700,2.3027,1.7411
Easy,4800,3.4335,1.1957
Easy,5100,3.5256,1.8383
Easy,4400,2.5565,1.1668
Easy,4800,3.3357,1.6238
Easy,4400,1.381,0.599
Easy,4800,4.2623,2.4173
Easy,4400,1.1855,0.5745
Easy,4600,1.2219,0.5407
Easy,5100,5.3894,3.599
Easy,5000,2.8649,0.9281
Easy,5400,17.924,11.1589
Easy,5200,3.1949,1.6981
Easy,4800,9.3037,5.6155
Easy,5100,3.3334,2.0639
Easy,5300,20.5084,17.0038
Easy,5200,17.1931,15.0602
Easy,5000,6.8861,5.5205
Easy,5400,28.8633,23.5921
Easy,4800,1.5938,0.7821
Easy,4700,2.3226,1.1995
Easy,4700,1.3811,0.4555
Easy,5200,4.4314,2.9993
Easy,4500,2.485,0.9639
Easy,4600,1.5208,0.5902
Easy,5100,3.7952,2.5284
Easy,4900,6.2645,3.9026
Easy,4400,1.636,0.5073
Easy,5000,8.5652,6.7225
Easy,4800,2.2381,1.1687
Easy,5300,14.2277,8.9486
Easy,5100,4.7539,1.847
Easy,4900,3.6916,2.5058
Easy,4600,1.2146,0.7014
Easy,4500,2.6564,1.222
Easy,5000,4.3892,1.4541
Easy,5400,21.6313,13.798
Easy,5000,4.166,2.8227
Easy,5000,6.5598,4.038
Easy,4700,4.8498,3.6701
Easy,5200,14.8755,10.1871
Easy,4600,1.7333,0.6865
Easy,5100,65.4734,61.2984
Easy,4500,2.9201,1.8026
Easy,4400,0.9154,0.5196
Easy,4400,1.0243,0.3095
Easy,4700,1.4084,0.7995
Easy,4900,2.7175,1.1238
Easy,4900,4.1812,2.2874
Easy,5100,7.9159,2.4128
Easy,4600,1.5181,0.6391
Easy,5100,3.3054,1.1522
Easy,5400,15.5624,9.8879
Easy,5100,6.1765,4.8469
Easy,4400,2.6105,1.9909
Easy,5100,15.0585,10.4008
Easy,4600,1.1733,0.5271
Easy,4400,1.2323,0.5556
Easy,4800,4.1519,3.1649
Easy,5200,8.802,5.399
Easy,4400,1.2013,0.5388
Easy,5100,4.7327,1.5328
Easy,4700,2.0577,0.5617
Easy,5100,2.8703,1.9934
Easy,4700,2.4488,0.9646
Easy,4400,0.8256,0.3626
Easy,4900,2.7682,1.917
Easy,4600,1.8053,1.2338
Easy,5200,34.7192,32.8741
Easy,5100,11.5221,8.7921
Easy,4600,4.4627,3.0445
Easy,5100,7.0762,2.6461
Easy,5100,7.6459,5.8352
Easy,5300,4.0575,2.1184
Easy,4900,2.5144,1.1853
Easy,5400,8.9013,2.4939
Easy,5400,16.2684,4.967
Easy,4400,1.597,0.6947
Easy,5300,9.3529,5.1117
Easy,4500,1.3337,0.8002
Easy,4900,4.3168,2.2805
Easy,4500,1.21,0.55
Easy,4500,1.3778,0.4872
Easy,4500,1.5671,0.6533
Easy,5000,7.2059,2.1945
Easy,4900,1.492,0.7003
Easy,4500,1.2525,0.7018
Easy,5000,5.3817,3.4132
Easy,4900,11.31,6.7677
Easy,5300,7.354,3.4481
Easy,4400,1.5639,0.6752
Easy,4800,6.0547,3.9994
Easy,5000,4.555,3.0817
Easy,5300,41.2964,38.8853
Easy,5300,83.4893,71.6732
Easy,5100,234.9393,223.8117
Easy,5300,30.5086,26.8567
Easy,4700,14.366,13.7962
Easy,5300,67.0612,62.8833
Easy,4500,1.6261,0.7801
Easy,5300,31.9592,29.0773
Easy,5300,25.0648,16.0342
Easy,4900,2.7909,1.8964
Easy,4900,13.3609,9.9508
Easy,5200,12.9008,6.3885
Easy,5000,9.0799,6.7586
Easy,5300,14.9507,9.8606
Easy,5300,5.2736,1.255
Easy,4900,6.2753,3.935
Easy,4600,1.8207,1.0572
Easy,4400,0.911,0.3606
Easy,4900,8.4607,7.2825
Easy,4600,2.1109,1.535
Easy,4900,2.4094,1.0207
Easy,4600,2.7695,1.0013
Easy,5400,14.1673,9.3704
Easy,4800,2.4441,1.9804
Easy,4800,1.8507,0.9087
Easy,5000,3.6088,2.3633
Easy,5200,61.9792,54.7608
Easy,4700,9.337,7.9321
Easy,4800,2.1647,0.9268
Easy,4900,6.5085,4.8186
Easy,5100,4.79,2.5853
Easy,5000,2.3804,1.3689
Easy,5100,14.8123,6.3891
Easy,5000,6.1807,1.1751
Easy,5300,24.8566,22.4177
Easy,5400,10.5177,6.9635
Easy,5300,6.7319,4.7283
Easy,5200,6.1005,5.2223
Easy,4500,1.3741,0.3605
Easy,5100,6.0533,3.8223
Easy,4600,2.4541,1.6475
Easy,4500,1.6972,0.6094
Easy,5300,2.5794,1.5964
Easy,5100,3.7888,2.6111
Easy,4500,1.5079,0.6004
Easy,4500,4.8542,3.8926
Easy,4400,3.0424,1.7547
Easy,4400,1.0096,0.4245
Easy,4600,1.212,0.401
Easy,5300,5.604,3.5762
Easy,4600,1.8954,0.4488
Easy,4600,3.3668,1.8576
Easy,5000,1.185,0.6885
Easy,5100,5.6824,3.9281
Easy,4600,3.8457,2.7069
Easy,4600,7.6315,3.3944
Easy,4800,3.4541,2.4691
Easy,5450,5.6262,3.7185
Easy,4600,6.2566,5.0253
Easy,4600,1.5782,0.8579
Easy,4500,1.1794,0.4623
Easy,4600,2.4786,0.9173
Easy,5300,6.7961,5.4248
Easy,4800,4.0623,1.8694
Easy,4900,2.0309,0.9541
Easy,4700,3.1821,0.9045
Easy,5000,5.6157,3.76
Easy,4500,1.3092,0.4749
Easy,4900,4.3818,1.5466
Easy,4800,2.5137,1.7746
Easy,4500,3.3849,2.7583
Easy,4900,3.4092,1.4583
Easy,5200,10.6635,8.5066
Easy,4900,11.9179,9.6858
Easy,4800,10.064,9.0975
Easy,4500,2.1869,1.7176
Easy,4700,3.0231,1.8071
Easy,4700,6.5322,3.5109
Easy,5100,2.1171,1.0195
Easy,4600,0.9902,0.3865
Easy,5000,8.8049,2.7429
Easy,4500,1.5181,0.8915
Easy,4900,4.0563,1.58
Easy,5200,46.6702,42.8543
Easy,4700,2.4315,1.3088
Easy,4400,1.8836,0.6901
Easy,4900,16.8692,15.8734
Easy,4700,2.291,1.3242
Easy,5000,2.9307,1.7423
Easy,4700,6.3142,2.6886
Easy,4300,0.7445,0.318
Easy,5300,18.1538,13.8018
Easy,5000,10.5205,7.8867
Easy,5200,5.9067,3.1397
Easy,4800,2.8332,1.8363
Easy,4900,2.2451,0.6856
Easy,5200,3.5644,2.4452
Easy,5250,2.2661,1.0067
Easy,5000,2.4118,1.1987
Easy,4700,2.0053,0.7095
Easy,4900,13.8703,10.8543
Easy,5200,5.6136,3.4139
Easy,5400,20.1284,14.2368
Easy,4400,1.2654,0.5405
Easy,4500,1.0613,0.5224
Easy,5200,41.4357,31.2393
Easy,4900,11.7577,10.0161
Easy,4900,2.6841,1.3975
Easy,4900,2.4108,1.1176
Easy,5300,4.8495,1.6816
Easy,4400,2.7347,1.5621
Easy,4400,1.1165,0.631
Easy,5400,14.5059,11.7411
Easy,5200,15.4156,12.7669
Easy,4600,8.3329,6.3809
Easy,4800,13.9728,10.0901
Easy,4900,1.9889,1.0585
Easy,4800,10.2516,6.3414
Easy,5000,3.6814,3.0014
Easy,4400,1.194,0.7719
Easy,4700,1.9893,0.9068
Easy,4500,1.6021,0.6078
Easy,5400,48.4651,43.5881
Easy,5000,3.8764,1.8976
Easy,4500,3.0468,2.3782
Easy,4500,1.3303,0.8718
Easy,5300,43.0955,36.7749
Easy,5200,22.971,16.2098
Easy,4500,1.6459,1.0136
Easy,4400,1.6543,1.2441
Easy,4600,2.2751,0.7445
Easy,5000,3.5675,1.2634
