Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Beginner,4100,0.9796,0.5853
Beginner,4400,0.97,0.5312
Beginner,4100,0.821,0.4341
Beginner,3700,0.5206,0.1834
Beginner,4000,0.6288,0.2454
Beginner,3700,0.5432,0.2215
Beginner,4200,0.7826,0.3873
Beginner,3800,0.6322,0.2701
Beginner,4400,0.9245,0.4774
Beginner,4100,0.8142,0.4566
Beginner,4200,0.9549,0.5554
Beginner,4400,0.9957,0.5562
Beginner,3800,0.6382,0.2906
Beginner,4200,0.9563,0.5469
Beginner,4400,2.0712,1.6419
Beginner,4000,0.5891,0.2229
Beginner,3700,0.6547,0.3362
Beginner,4200,1.6757,1.1662
Beginner,4100,0.8817,0.419
Beginner,3900,0.6746,0.3248
Beginner,4300,0.8685,0.4423
Beginner,4200,0.6633,0.2678
Beginner,3900,0.9997,0.5919
Beginner,3800,0.6416,0.2656
Beginner,4100,1.0889,0.6845
Beginner,4400,0.8642,0.4256
Beginner,4100,0.9625,0.517
Beginner,3900,0.6512,0.2931
Beginner,4100,0.6557,0.2555
Beginner,4400,1.8106,1.3102
Beginner,4200,1.1751,0.7534
Beginner,4000,0.8626,0.4576
Beginner,3800,0.6527,0.2758
Beginner,3900,0.5971,0.2136
Beginner,4000,0.8676,0.3961
Beginner,3900,0.9525,0.5486
Beginner,4100,1.1678,0.732
Beginner,4400,1.4049,0.8272
Beginner,4200,0.9271,0.4755
Beginner,3900,0.9359,0.5851
Beginner,4000,0.7975,0.3799
Beginner,4000,1.2364,0.8768
Beginner,4100,0.8772,0.5045
Beginner,4400,1.1453,0.6757
Beginner,4200,0.8717,0.4521
Beginner,4100,0.7143,0.3148
Beginner,3700,0.5376,0.2146
Beginner,4200,1.8577,1.3998
Beginner,4300,0.7595,0.3268
Beginner,4200,0.674,0.2875
Beginner,4200,0.741,0.3387
Beginner,4200,0.7262,0.3204
Beginner,4100,0.7805,0.3821
Beginner,4300,1.1918,0.741
Beginner,3800,0.6717,0.3325
Beginner,4100,1.3419,0.7343
Beginner,3700,0.5441,0.2272
Beginner,3700,0.6795,0.3584
Beginner,4100,0.6656,0.29
Beginner,3700,0.7289,0.396
Beginner,3700,0.7916,0.4379
Beginner,3800,0.6681,0.3198
Beginner,4300,0.9252,0.4376
Beginner,3800,0.6192,0.2332
Beginner,4100,0.8181,0.4109
